,Start Timestamp,End Timestamp,Start Latitude,Start Longitude,End Latitude,End Longitude,Distance,Activity,Confidence
34,2022-06-02 01:02:05.214000+00:00,2022-06-02 01:11:35.989000+00:00,47..6746486,-117..3917686,47..7091489,-117..4110417,4993,IN_PASSENGER_VEHICLE,HIGH
35,2022-06-02 01:29:40+00:00,2022-06-02 01:38:51.934000+00:00,47..7079785,-117..4103501,47..6746815,-117..3911048,4975,IN_PASSENGER_VEHICLE,HIGH
36,2022-06-02 16:48:58+00:00,2022-06-02 17:00:24.765000+00:00,47..6747451,-117..3926424,47..6665297,-117..4007431,1331,IN_PASSENGER_VEHICLE,HIGH
37,2022-06-02 20:46:50.636000+00:00,2022-06-02 20:54:18.489000+00:00,47..6676132,-117..4002683,47..6745904,-117..3916399,1635,IN_PASSENGER_VEHICLE,HIGH
38,2022-06-02 21:01:09.450000+00:00,2022-06-02 21:07:53.192000+00:00,47..6747720,-117..3910327,47..6671796,-117..4006596,1396,IN_PASSENGER_VEHICLE,HIGH
39,2022-06-02 23:00:58.845000+00:00,2022-06-02 23:10:37.869000+00:00,47..6671935,-117..4015508,47..6746498,-117..3916740,1496,IN_PASSENGER_VEHICLE,HIGH
40,2022-06-03 01:49:43.121000+00:00,2022-06-03 01:52:08.573000+00:00,47..6747843,-117..3909813,47..6701001,-117..3966143,922,IN_PASSENGER_VEHICLE,HIGH
41,2022-06-03 02:27:32.803000+00:00,2022-06-03 02:31:04.065000+00:00,47..6691393,-117..3969311,47..6747898,-117..3908848,834,IN_PASSENGER_VEHICLE,HIGH
42,2022-06-03 02:45:23.825000+00:00,2022-06-03 03:03:56.014000+00:00,47..6748801,-117..3909400,47..8012860,-117..3481317,14841,IN_PASSENGER_VEHICLE,HIGH
43,2022-06-03 03:08:18.344000+00:00,2022-06-03 03:26:20.051000+00:00,47..8012694,-117..3480409,47..8566440,-117..2768483,9098,IN_PASSENGER_VEHICLE,HIGH
44,2022-06-03 03:47:31.817000+00:00,2022-06-03 04:17:00+00:00,47..8566454,-117..2768498,47..6748457,-117..3910654,23351,IN_PASSENGER_VEHICLE,HIGH
45,2022-06-03 16:46:36.755000+00:00,2022-06-03 16:58:01.162000+00:00,47..6748188,-117..3909680,47..6668076,-117..4010879,1861,IN_PASSENGER_VEHICLE,HIGH
46,2022-06-03 23:03:23.921000+00:00,2022-06-03 23:12:48.592000+00:00,47..6668608,-117..4016647,47..6745605,-117..3916461,1419,IN_PASSENGER_VEHICLE,HIGH
47,2022-06-04 00:47:31+00:00,2022-06-04 01:05:49+00:00,47..6746806,-117..3915409,47..7477703,-117..4026579,9353,IN_PASSENGER_VEHICLE,HIGH
48,2022-06-04 01:17:26.517000+00:00,2022-06-04 01:37:56.939000+00:00,47..7483194,-117..4033658,47..8566447,-117..2768500,15418,IN_PASSENGER_VEHICLE,HIGH
49,2022-06-04 04:06:35.204000+00:00,2022-06-04 04:48:32.983000+00:00,47..8566453,-117..2768504,47..6751690,-117..3911457,22044,IN_PASSENGER_VEHICLE,HIGH
50,2022-06-04 21:09:05.944000+00:00,2022-06-04 21:16:03.811000+00:00,47..6748750,-117..3909313,47..6541325,-117..4083582,3314,IN_PASSENGER_VEHICLE,HIGH
51,2022-06-04 22:09:46.290000+00:00,2022-06-04 22:23:03.515000+00:00,47..6535842,-117..4066725,47..7048621,-117..3970919,6506,IN_PASSENGER_VEHICLE,HIGH
52,2022-06-04 22:39:27.942000+00:00,2022-06-04 22:49:12.457000+00:00,47..7060299,-117..3984230,47..7002204,-117..4456290,3877,IN_PASSENGER_VEHICLE,HIGH
53,2022-06-05 00:00:03.057000+00:00,2022-06-05 00:12:29.830000+00:00,47..7008472,-117..4433947,47..6748548,-117..3909360,5805,IN_PASSENGER_VEHICLE,HIGH
54,2022-06-05 20:07:16+00:00,2022-06-05 20:13:54.440000+00:00,47..6747945,-117..3910394,47..6725809,-117..3957153,1102,IN_PASSENGER_VEHICLE,HIGH
55,2022-06-05 21:01:07.768000+00:00,2022-06-05 21:03:05.403000+00:00,47..6723050,-117..3960277,47..6748305,-117..3908015,714,IN_PASSENGER_VEHICLE,HIGH
56,2022-06-05 21:31:58.260000+00:00,2022-06-05 21:46:45.028000+00:00,47..6749453,-117..3909409,47..6555270,-117..4409688,5084,IN_PASSENGER_VEHICLE,HIGH
57,2022-06-05 22:41:03.078000+00:00,2022-06-05 22:45:28.851000+00:00,47..6558125,-117..4414450,47..6563670,-117..4447959,301,WALKING,HIGH
58,2022-06-05 23:58:53.936000+00:00,2022-06-06 00:18:53.007000+00:00,47..6563534,-117..4449955,47..6749325,-117..3908288,6665,IN_PASSENGER_VEHICLE,HIGH
59,2022-06-06 01:22:18.828000+00:00,2022-06-06 01:52:09.382000+00:00,47..6746970,-117..3910237,47..8566208,-117..2767404,23424,IN_PASSENGER_VEHICLE,HIGH
60,2022-06-06 03:19:29.659000+00:00,2022-06-06 04:00:01.200000+00:00,47..8566200,-117..2767386,47..6757506,-117..3906010,22254,IN_PASSENGER_VEHICLE,HIGH
61,2022-06-06 16:47:52.443000+00:00,2022-06-06 16:59:12.918000+00:00,47..6748051,-117..3909289,47..6676281,-117..4010171,1561,IN_PASSENGER_VEHICLE,HIGH
62,2022-06-06 22:59:34.818000+00:00,2022-06-06 23:11:00.706000+00:00,47..6666952,-117..4007711,47..6748413,-117..3910832,2305,IN_PASSENGER_VEHICLE,HIGH
63,2022-06-07 00:11:24.898000+00:00,2022-06-07 00:18:22.929000+00:00,47..6746870,-117..3909395,47..6717084,-117..3955504,1695,IN_PASSENGER_VEHICLE,HIGH
64,2022-06-07 00:58:17.195000+00:00,2022-06-07 01:00:21.332000+00:00,47..6724185,-117..3959511,47..6747030,-117..3910134,634,IN_PASSENGER_VEHICLE,HIGH
65,2022-06-07 16:51:32.819000+00:00,2022-06-07 17:05:12.791000+00:00,47..6747499,-117..3910090,47..6665374,-117..4005690,1526,IN_PASSENGER_VEHICLE,MEDIUM
